Name,Gender,Usage,Meaning
CHRISTMAS,m & f,English (Rare),"From the name of the holiday, which means ""Christ festival""."
CHRISTOBEL,f,English (Archaic),Variant of CHRISTABEL.
CHRISTOPHER,m,English,"From the Late Greek name Χριστόφορος (Christophoros) meaning ""bearing CHRIST"", derived from Χριστός (Christos) combined with φέρω (phero) meaning ""to bear, to carry"". Early Christians used it as a metaphorical name, expressing that they carried Christ in their hearts. In the Middle Ages, literal interpretations of the name's etymology led to legends about a Saint Christopher who carried the young Jesus across a river. He has come to be regarded as the patron saint of travellers.... [more]"
CHRISTY (1),f,English,Diminutive of CHRISTINE or CHRISTINA.
CHRYSANTA,f,English (Rare),"Shortened form of the word chrysanthemum, the name of a flowering plant, which means ""golden flower"" in Greek."
CHRYSTAL,f,English,Variant of CRYSTAL.
CHUCK,m,English,"Diminutive of CHARLES. It originated in America in the early 20th century. Two famous bearers of this name were pilot Chuck Yeager (1923-), the first man to travel faster than the speed of sound, and the musician Chuck Berry (1926-2017), one of the pioneers of rock music."
CHUCKIE,m,English,Diminutive of CHUCK.
CHUCKY,m,English,Diminutive of CHUCK.
CHYNA,f,English (Modern),Variant of CHINA.
CIARA (2),f,English (Modern),"Variant of SIERRA. Use of the name has perhaps been influenced by the brand of perfume called Ciara, which was introduced by Revlon in 1973."
CICELY,f,English,Medieval variant of CECILY.
CIERA,f,English (Modern),Variant of SIERRA.
CIERRA,f,English (Modern),Variant of SIERRA.
CINDI,f,English,Diminutive of CYNTHIA.
CINDRA,f,English (Rare),Combination of CINDY and SANDRA.
CINDY,f,English,"Diminutive of CYNTHIA or LUCINDA. Like Cynthia, it peaked in popularity in the United States in 1957."
CISSY,f,English,Variant of SISSY.
CLAIR,m,"French, English",French form of Clarus (see CLARA).
CLAIRE,f,"French, English",French form of CLARA.
CLANCY,m,"Irish, English (Rare)","From the Irish surname Mac Fhlannchaidh, which means ""son of Flannchadh"". The Irish name Flannchadh means ""red warrior""."
CLARA,f,"German, Spanish, Portuguese, Italian, French, Catalan, Romanian, English, Swedish, Danish, Late Roman","Feminine form of the Late Latin name Clarus, which meant ""clear, bright, famous"". The name Clarus was borne by a few early saints. The feminine form was popularized by the 13th-century Saint Clare of Assisi (called Chiara in Italian), a friend and follower of Saint Francis, who left her wealthy family to found the order of nuns known as the Poor Clares. As an English name it has been in use since the Middle Ages, originally in the form Clare, though the Latinate spelling Clara became more popular in the 19th century."
CLARE,f,English,"Medieval English form of CLARA. This is also the name of an Irish county, which was itself probably derived from Irish clár meaning ""plank, level surface""."
CLARENCE,m,English,"From the Latin title Clarensis, which belonged to members of the British royal family. The title ultimately derives from the name of the town of Clare in Suffolk. As a given name it has been in use since the 19th century."
CLARETTE,f,English (Rare),Diminutive of CLARA.
CLARIBEL,f,English,Combination of CLARA and the popular name suffix bel. This name was used by Edmund Spenser in his poem The Faerie Queene (in the form Claribell) and by Shakespeare in his play The Tempest (1611). Alfred Lord Tennyson also wrote a poem entitled Claribel (1830).
CLARICE,f,English,"Medieval vernacular form of the Late Latin name Claritia, which was a derivative of CLARA."
CLARINDA,f,English,Combination of CLARA and the popular name suffix inda. It was first used by Edmund Spenser in his epic poem The Faerie Queene (1590).
CLARISSA,f,"English, Italian",Latinate form of CLARICE. This was the name of the title character in a 1748 novel by Samuel Richardson. In the novel Clarissa is a virtuous woman who is tragically exploited by her family and her lover.
CLARITY,f,English (Rare),"Simply means ""clarity, lucidity"" from the English word, ultimately from Latin clarus ""clear""."
CLARK,m,English,"From an English surname meaning ""cleric"" or ""scribe"", from Old English clerec originally meaning ""priest"". A famous bearer of the surname was William Clark (1770-1838), an explorer of the west of North America. It was also borne by the American actor Clark Gable (1901-1960)."
CLAUD,m,English,Variant of CLAUDE.
CLAUDE,m & f,"French, English","French masculine and feminine form of CLAUDIUS. In France the masculine name has been common since the Middle Ages due to the 7th-century Saint Claude of Besançon. It was imported to Britain in the 16th century by the aristocratic Hamilton family, who had French connections. A famous bearer of this name was the French impressionist painter Claude Monet (1840-1926)."
CLAUDIA,f,"English, German, Dutch, Swedish, Italian, Spanish, Romanian, Biblical, Ancient Roman",Feminine form of CLAUDIUS. It is mentioned briefly in the New Testament. As a Christian name it was very rare until the 16th century.
CLAY,m,English,From an English surname that originally referred to a person who lived near or worked with clay. This name can also be a short form of CLAYTON.
CLAYTON,m,English,"From a surname that was originally derived from various English place names, all meaning ""clay settlement"" in Old English."
CLEM,m,English,Short form of CLEMENT.
CLEMATIS,f,English (Rare),"From the English word for a type of flowering vine, ultimately derived from Greek κλήμα (klema) meaning ""twig, branch""."
CLEMENCE,f,English,"Feminine form of Clementius (see CLEMENT). It has been in use since the Middle Ages, though it became rare after the 17th century."
CLEMENCY,f,English (Rare),"Medieval variant of CLEMENCE. It can also simply mean ""clemency, mercy"" from the English word, ultimately from Latin clemens ""merciful""."
CLEMENT,m,English,"English form of the Late Latin name Clemens (or sometimes of its derivative Clementius), which meant ""merciful, gentle"". This was the name of 14 popes, including Saint Clement I, the third pope, one of the Apostolic Fathers. Another saint by this name was Clement of Alexandria, a 3rd-century theologian and church father who attempted to reconcile Christian and Platonic philosophies. It has been in general as a given name in Christian Europe (in various spellings) since early times. In England it became rare after the Protestant Reformation, though it was revived in the 19th century."
CLEMENTINE,f,English,English form of CLÉMENTINE.
CLEO,f & m,English,"Short form of CLEOPATRA, CLEON or CLEOPAS."
CLETIS,m,English (Rare),Variant of CLETUS.
CLETUS,m,English,"Short form of ANACLETUS. This name is sometimes used to refer to the third pope, Saint Anacletus. It can also function as an Anglicized form of KLEITOS."
CLEVE,m,English,Short form of CLEVELAND.
CLEVELAND,m,English,"From a surname that was derived from an Old English place name meaning ""hilly land"". This was the surname of American president Grover Cleveland (1837-1908). It is also the name of an American city, which was founded by surveyor Moses Cleaveland (1754-1806)."
CLIFF,m,English,Short form of CLIFFORD or CLIFTON.
CLIFFORD,m,English,"From a surname that was originally from a place name meaning ""ford by a cliff"" in Old English."
CLIFTON,m,English,"From a surname that was originally derived from a place name meaning ""settlement by a cliff"" in Old English."
CLINT,m,English,"Short form of CLINTON. A notable bearer is American actor Clint Eastwood (1930-), who became famous early in his career for his western movies."
CLINTON,m,English,"From a surname that was originally from an Old English place name meaning ""settlement on the River Glyme"". A famous bearer of the surname is former American president Bill Clinton (1946-)."
CLIVE,m,English,"From a surname meaning ""cliff"" in Old English, originally belonging to a person who lived near a cliff."
CLOTILDA,f,English,English form of CLOTILDE.
CLOVER,f,English (Rare),"From the English word for the wild flower, ultimately deriving from Old English clafre."
CLYDE,m,English,"From the name of the River Clyde in Scotland, from Cumbric Clud, which is of uncertain origin. It became a common given name in America in the middle of the 19th century, perhaps in honour of Sir Colin Campbell (1792-1863) who was given the title Baron Clyde in 1858."
COBY,m & f,English,Masculine or feminine diminutive of JACOB.
CODIE,m & f,English (Modern),Variant or feminine form of CODY.
CODY,m,English,"From the Irish surname Ó Cuidighthigh, which means ""descendant of CUIDIGHTHEACH"". A famous bearer of the surname was the American frontiersman and showman Buffalo Bill Cody (1846-1917)."
COHEN,m,English,"From a common Jewish surname that was derived from Hebrew כֹּהֵן (kohen) meaning ""priest"". This surname was traditionally associated with the hereditary priests who claimed descent from the biblical Aaron."
COLBERT,m,English,From an English surname that was derived from a Norman form of the Germanic name COLOBERT.
COLBY,m,English,"From a surname, originally from various English place names, derived from the Old Norse nickname Koli (meaning ""coal, dark"") and býr ""town""."
COLE,m,English,From a surname that was originally derived from the Old English byname COLA.
COLEEN,f,English,Variant of COLLEEN.
COLEMAN,m,"English, Irish",Variant of COLMÁN.
COLENE,f,English (Rare),Variant of COLLEEN.
COLIN (1),m,"Scottish, Irish, English",Anglicized form of CAILEAN or COILEAN.
COLIN (2),m,English,"Medieval diminutive of Col, a short form of NICHOLAS. It is now regarded as an independent name."
COLLEEN,f,English,"Derived from the Irish word cailín meaning ""girl"". It is not commonly used in Ireland itself, but has been used in America since the early 20th century."
COLLIN,m,English,Variant of COLIN (2).
COLLYN,f & m,English (Rare),Variant of COLLEEN or COLIN (2).
COLT,m,English,From the English word for a young male horse or from the surname of the same origin. It may be given in honour of the American industrialist Samuel Colt (1814-1862) or the firearms company that bears his name.
COLTEN,m,English (Modern),Variant of COLTON.
COLTON,m,English (Modern),"From an English surname that was originally from a place name meaning ""COLA's town""."
COLUMBINE,f,English (Rare),"From the name of a variety of flower. It is also an English form of COLOMBINA, the pantomime character."
COMFORT,f,English (Rare),"From the English word comfort, ultimately from Latin confortare ""to strengthen greatly"", a derivative of fortis ""strong"". It was used as a given name after the Protestant Reformation."
CONNELL,m,English (Rare),"From an Irish surname, an Anglicized form of Ó Conaill meaning ""descendant of CONALL""."
CONNER,m,English (Modern),Variant of CONOR.
CONNIE,f & m,English,"Diminutive of CONSTANCE and other names beginning with Con. It is occasionally a masculine name, a diminutive of CORNELIUS or CONRAD."
CONNOR,m,"Irish, English (Modern)",Variant of CONOR.
CONOR,m,"Irish, English, Irish Mythology","Anglicized form of the Irish name Conchobar, derived from Old Irish con ""hound, dog, wolf"" and cobar ""desiring"". It has been in use in Ireland for centuries and was the name of several Irish kings. It was also borne by the legendary Ulster king Conchobar mac Nessa, known for his tragic desire for Deirdre."
